Network Topology:
Input Layer: 39 inputs
Layer 1: 3 neurons
Output Layer: 1 neuron
Threshold Activation: Enabled

Actual Label,Predicted Label
1,1.0
1,1.0
1,1.0
0,0.0
1,1.0
0,0.0
0,0.0
0,0.0
1,1.0
1,1.0
1,1.0
0,1.0
1,1.0
1,1.0
0,0.0
0,1.0
0,0.0
0,0.0
1,1.0
0,0.0
0,1.0
1,1.0
0,0.0
0,1.0
0,0.0
0,0.0
1,1.0
1,0.0
1,1.0
1,1.0
1,0.0
1,0.0
1,1.0
1,1.0
0,0.0
1,1.0
0,0.0
1,1.0
1,1.0
0,1.0
0,0.0
1,0.0
0,1.0
0,0.0
1,0.0
0,0.0
0,0.0
0,1.0
0,1.0
0,1.0
0,0.0
0,1.0
0,1.0
1,1.0
1,1.0
1,0.0
1,0.0
1,0.0
1,1.0
0,0.0
1,1.0
0,0.0
1,1.0
0,1.0

Accuracy,68.75%
